LECROYWRHRO66Zi	56744	Histogram
Segments	1	SegmentSize	2000
Segment	TrigTime	TimeSinceSegment1
#1	08-Nov-2013 14:02:09	0                 
Time	Ampl
-8.06e-010	0
-8.055e-010	0
-8.05e-010	3
-8.045e-010	1
-8.04e-010	0
-8.035e-010	1
-8.03e-010	3
-8.025e-010	1
-8.02e-010	1
-8.015e-010	0
-8.01e-010	0
-8.005e-010	0
-8e-010	3
-7.995e-010	0
-7.99e-010	1
-7.985e-010	0
-7.98e-010	1
-7.975e-010	2
-7.97e-010	1
-7.965e-010	0
-7.96e-010	1
-7.955e-010	0
-7.95e-010	1
-7.945e-010	0
-7.94e-010	1
-7.935e-010	0
-7.93e-010	0
-7.925e-010	2
-7.92e-010	1
-7.915e-010	0
-7.91e-010	1
-7.905e-010	0
-7.9e-010	0
-7.895e-010	0
-7.89e-010	0
-7.885e-010	0
-7.88e-010	0
-7.875e-010	0
-7.87e-010	0
-7.865e-010	1
-7.86e-010	0
-7.855e-010	1
-7.85e-010	0
-7.845e-010	0
-7.84e-010	0
-7.835e-010	0
-7.83e-010	1
-7.825e-010	1
-7.82e-010	1
-7.815e-010	0
-7.81e-010	5
-7.805e-010	0
-7.8e-010	3
-7.795e-010	1
-7.79e-010	0
-7.785e-010	0
-7.78e-010	1
-7.775e-010	1
-7.77e-010	2
-7.765e-010	3
-7.76e-010	1
-7.755e-010	0
-7.75e-010	0
-7.745e-010	0
-7.74e-010	3
-7.735e-010	0
-7.73e-010	1
-7.725e-010	1
-7.72e-010	2
-7.715e-010	1
-7.71e-010	3
-7.705e-010	1
-7.7e-010	0
-7.695e-010	0
-7.69e-010	2
-7.685e-010	2
-7.68e-010	4
-7.675e-010	0
-7.67e-010	1
-7.665e-010	2
-7.66e-010	0
-7.655e-010	2
-7.65e-010	3
-7.645e-010	0
-7.64e-010	2
-7.635e-010	0
-7.63e-010	1
-7.625e-010	2
-7.62e-010	0
-7.615e-010	0
-7.61e-010	1
-7.605e-010	0
-7.6e-010	1
-7.595e-010	0
-7.59e-010	1
-7.585e-010	0
-7.58e-010	1
-7.575e-010	2
-7.57e-010	1
-7.565e-010	1
-7.56e-010	0
-7.555e-010	1
-7.55e-010	2
-7.545e-010	1
-7.54e-010	1
-7.535e-010	1
-7.53e-010	2
-7.525e-010	1
-7.52e-010	0
-7.515e-010	0
-7.51e-010	1
-7.505e-010	1
-7.5e-010	0
-7.495e-010	0
-7.49e-010	1
-7.485e-010	4
-7.48e-010	2
-7.475e-010	0
-7.47e-010	2
-7.465e-010	4
-7.46e-010	1
-7.455e-010	0
-7.45e-010	0
-7.445e-010	0
-7.44e-010	1
-7.435e-010	1
-7.43e-010	1
-7.425e-010	1
-7.42e-010	1
-7.415e-010	0
-7.41e-010	0
-7.405e-010	0
-7.4e-010	0
-7.395e-010	1
-7.39e-010	1
-7.385e-010	0
-7.38e-010	4
-7.375e-010	0
-7.37e-010	4
-7.365e-010	3
-7.36e-010	0
-7.355e-010	0
-7.35e-010	1
-7.345e-010	2
-7.34e-010	1
-7.335e-010	0
-7.33e-010	2
-7.325e-010	1
-7.32e-010	0
-7.315e-010	3
-7.31e-010	3
-7.305e-010	3
-7.3e-010	1
-7.295e-010	0
-7.29e-010	2
-7.285e-010	1
-7.28e-010	0
-7.275e-010	1
-7.27e-010	1
-7.265e-010	0
-7.26e-010	1
-7.255e-010	1
-7.25e-010	1
-7.245e-010	0
-7.24e-010	1
-7.235e-010	1
-7.23e-010	1
-7.225e-010	0
-7.22e-010	1
-7.215e-010	1
-7.21e-010	2
-7.205e-010	2
-7.2e-010	1
-7.195e-010	2
-7.19e-010	0
-7.185e-010	0
-7.18e-010	0
-7.175e-010	3
-7.17e-010	0
-7.165e-010	0
-7.16e-010	0
-7.155e-010	0
-7.15e-010	1
-7.145e-010	2
-7.14e-010	0
-7.135e-010	1
-7.13e-010	0
-7.125e-010	3
-7.12e-010	0
-7.115e-010	1
-7.11e-010	0
-7.105e-010	2
-7.1e-010	1
-7.095e-010	1
-7.09e-010	0
-7.085e-010	1
-7.08e-010	0
-7.075e-010	5
-7.07e-010	1
-7.065e-010	3
-7.06e-010	0
-7.055e-010	0
-7.05e-010	0
-7.045e-010	1
-7.04e-010	3
-7.035e-010	0
-7.03e-010	4
-7.025e-010	2
-7.02e-010	1
-7.015e-010	2
-7.01e-010	2
-7.005e-010	1
-7e-010	2
-6.995e-010	2
-6.99e-010	1
-6.985e-010	2
-6.98e-010	0
-6.975e-010	1
-6.97e-010	2
-6.965e-010	1
-6.96e-010	1
-6.955e-010	2
-6.95e-010	2
-6.945e-010	0
-6.94e-010	1
-6.935e-010	1
-6.93e-010	1
-6.925e-010	0
-6.92e-010	2
-6.915e-010	3
-6.91e-010	0
-6.905e-010	0
-6.9e-010	1
-6.895e-010	2
-6.89e-010	0
-6.885e-010	0
-6.88e-010	0
-6.875e-010	0
-6.87e-010	0
-6.865e-010	0
-6.86e-010	1
-6.855e-010	1
-6.85e-010	3
-6.845e-010	0
-6.84e-010	1
-6.835e-010	2
-6.83e-010	3
-6.825e-010	1
-6.82e-010	1
-6.815e-010	3
-6.81e-010	2
-6.805e-010	0
-6.8e-010	2
-6.795e-010	1
-6.79e-010	1
-6.785e-010	2
-6.78e-010	0
-6.775e-010	1
-6.77e-010	0
-6.765e-010	3
-6.76e-010	1
-6.755e-010	0
-6.75e-010	1
-6.745e-010	0
-6.74e-010	2
-6.735e-010	0
-6.73e-010	3
-6.725e-010	1
-6.72e-010	2
-6.715e-010	0
-6.71e-010	0
-6.705e-010	0
-6.7e-010	2
-6.695e-010	0
-6.69e-010	0
-6.685e-010	1
-6.68e-010	1
-6.675e-010	3
-6.67e-010	1
-6.665e-010	1
-6.66e-010	0
-6.655e-010	2
-6.65e-010	1
-6.645e-010	0
-6.64e-010	1
-6.635e-010	1
-6.63e-010	1
-6.625e-010	0
-6.62e-010	1
-6.615e-010	0
-6.61e-010	1
-6.605e-010	1
-6.6e-010	1
-6.595e-010	1
-6.59e-010	1
-6.585e-010	3
-6.58e-010	0
-6.575e-010	1
-6.57e-010	0
-6.565e-010	0
-6.56e-010	1
-6.555e-010	0
-6.55e-010	0
-6.545e-010	0
-6.54e-010	0
-6.535e-010	4
-6.53e-010	0
-6.525e-010	1
-6.52e-010	1
-6.515e-010	0
-6.51e-010	0
-6.505e-010	0
-6.5e-010	1
-6.495e-010	0
-6.49e-010	0
-6.485e-010	0
-6.48e-010	1
-6.475e-010	0
-6.47e-010	0
-6.465e-010	1
-6.46e-010	0
-6.455e-010	1
-6.45e-010	3
-6.445e-010	1
-6.44e-010	0
-6.435e-010	0
-6.43e-010	1
-6.425e-010	0
-6.42e-010	1
-6.415e-010	2
-6.41e-010	3
-6.405e-010	0
-6.4e-010	2
-6.395e-010	2
-6.39e-010	0
-6.385e-010	2
-6.38e-010	0
-6.375e-010	0
-6.37e-010	0
-6.365e-010	4
-6.36e-010	2
-6.355e-010	0
-6.35e-010	1
-6.345e-010	0
-6.34e-010	0
-6.335e-010	1
-6.33e-010	0
-6.325e-010	0
-6.32e-010	0
-6.315e-010	2
-6.31e-010	0
-6.305e-010	0
-6.3e-010	0
-6.295e-010	1
-6.29e-010	0
-6.285e-010	3
-6.28e-010	0
-6.275e-010	1
-6.27e-010	4
-6.265e-010	2
-6.26e-010	1
-6.255e-010	1
-6.25e-010	1
-6.245e-010	1
-6.24e-010	0
-6.235e-010	1
-6.23e-010	1
-6.225e-010	1
-6.22e-010	1
-6.215e-010	0
-6.21e-010	1
-6.205e-010	1
-6.2e-010	2
-6.195e-010	0
-6.19e-010	0
-6.185e-010	0
-6.18e-010	0
-6.175e-010	1
-6.17e-010	2
-6.165e-010	1
-6.16e-010	3
-6.155e-010	2
-6.15e-010	0
-6.145e-010	0
-6.14e-010	2
-6.135e-010	4
-6.13e-010	0
-6.125e-010	1
-6.12e-010	2
-6.115e-010	3
-6.11e-010	0
-6.105e-010	1
-6.1e-010	1
-6.095e-010	3
-6.09e-010	1
-6.085e-010	3
-6.08e-010	1
-6.075e-010	0
-6.07e-010	2
-6.065e-010	0
-6.06e-010	0
-6.055e-010	1
-6.05e-010	3
-6.045e-010	0
-6.04e-010	3
-6.035e-010	2
-6.03e-010	4
-6.025e-010	1
-6.02e-010	0
-6.015e-010	0
-6.01e-010	0
-6.005e-010	2
-6e-010	1
-5.995e-010	1
-5.99e-010	1
-5.985e-010	3
-5.98e-010	1
-5.975e-010	1
-5.97e-010	1
-5.965e-010	2
-5.96e-010	2
-5.955e-010	0
-5.95e-010	1
-5.945e-010	2
-5.94e-010	3
-5.935e-010	0
-5.93e-010	2
-5.925e-010	0
-5.92e-010	1
-5.915e-010	0
-5.91e-010	0
-5.905e-010	1
-5.9e-010	0
-5.895e-010	1
-5.89e-010	0
-5.885e-010	1
-5.88e-010	0
-5.875e-010	3
-5.87e-010	1
-5.865e-010	0
-5.86e-010	3
-5.855e-010	1
-5.85e-010	0
-5.845e-010	0
-5.84e-010	1
-5.835e-010	1
-5.83e-010	1
-5.825e-010	2
-5.82e-010	5
-5.815e-010	2
-5.81e-010	0
-5.805e-010	0
-5.8e-010	0
-5.795e-010	0
-5.79e-010	0
-5.785e-010	0
-5.78e-010	1
-5.775e-010	1
-5.77e-010	1
-5.765e-010	0
-5.76e-010	0
-5.755e-010	1
-5.75e-010	1
-5.745e-010	0
-5.74e-010	0
-5.735e-010	0
-5.73e-010	0
-5.725e-010	3
-5.72e-010	0
-5.715e-010	0
-5.71e-010	1
-5.705e-010	3
-5.7e-010	0
-5.695e-010	0
-5.69e-010	0
-5.685e-010	0
-5.68e-010	1
-5.675e-010	0
-5.67e-010	1
-5.665e-010	2
-5.66e-010	2
-5.655e-010	0
-5.65e-010	1
-5.645e-010	3
-5.64e-010	0
-5.635e-010	2
-5.63e-010	1
-5.625e-010	1
-5.62e-010	2
-5.615e-010	1
-5.61e-010	1
-5.605e-010	1
-5.6e-010	1
