LECROYWRHRO66Zi	56744	Histogram
Segments	1	SegmentSize	2000
Segment	TrigTime	TimeSinceSegment1
#1	13-Nov-2013 11:38:33	0                 
Time	Ampl
-2.092e-010	0
-2.091e-010	0
-2.09e-010	0
-2.089e-010	0
-2.088e-010	0
-2.087e-010	2
-2.086e-010	0
-2.085e-010	0
-2.084e-010	0
-2.083e-010	1
-2.082e-010	1
-2.081e-010	0
-2.08e-010	0
-2.079e-010	0
-2.078e-010	0
-2.077e-010	0
-2.076e-010	0
-2.075e-010	0
-2.074e-010	0
-2.073e-010	0
-2.072e-010	0
-2.071e-010	0
-2.07e-010	1
-2.069e-010	0
-2.068e-010	0
-2.067e-010	0
-2.066e-010	0
-2.065e-010	0
-2.064e-010	0
-2.063e-010	0
-2.062e-010	0
-2.061e-010	0
-2.06e-010	0
-2.059e-010	1
-2.058e-010	0
-2.057e-010	0
-2.056e-010	0
-2.055e-010	0
-2.054e-010	0
-2.053e-010	0
-2.052e-010	0
-2.051e-010	0
-2.05e-010	0
-2.049e-010	0
-2.048e-010	0
-2.047e-010	0
-2.046e-010	0
-2.045e-010	0
-2.044e-010	0
-2.043e-010	0
-2.042e-010	0
-2.041e-010	0
-2.04e-010	0
-2.039e-010	0
-2.038e-010	0
-2.037e-010	0
-2.036e-010	0
-2.035e-010	0
-2.034e-010	0
-2.033e-010	0
-2.032e-010	0
-2.031e-010	0
-2.03e-010	1
-2.029e-010	1
-2.028e-010	1
-2.027e-010	0
-2.026e-010	0
-2.025e-010	0
-2.024e-010	0
-2.023e-010	0
-2.022e-010	0
-2.021e-010	0
-2.02e-010	0
-2.019e-010	2
-2.018e-010	0
-2.017e-010	0
-2.016e-010	0
-2.015e-010	0
-2.014e-010	0
-2.013e-010	0
-2.012e-010	0
-2.011e-010	0
-2.01e-010	0
-2.009e-010	0
-2.008e-010	1
-2.007e-010	0
-2.006e-010	1
-2.005e-010	0
-2.004e-010	0
-2.003e-010	0
-2.002e-010	1
-2.001e-010	0
-2e-010	0
-1.999e-010	0
-1.998e-010	0
-1.997e-010	0
-1.996e-010	0
-1.995e-010	0
-1.994e-010	0
-1.993e-010	0
-1.992e-010	0
-1.991e-010	0
-1.99e-010	0
-1.989e-010	0
-1.988e-010	1
-1.987e-010	0
-1.986e-010	1
-1.985e-010	0
-1.984e-010	0
-1.983e-010	0
-1.982e-010	1
